]: unknown ByteOrder '@0+' for signal 'StW_Angl' in message 3; defaulting to 1 (Intel).
Warning: Signals[238]: unknown ByteOrder '@1+' for signal 'MONTH' in message 792; defaulting to 1 (Intel).
Warning: Signals[238]: invalid Factor '[1|12]' for 'MONTH' in message 792; default 1.0 used.
Warning: Signals[238]: invalid Offset 'Month' for 'MONTH' in message 792; default 0.0 used.
Warning: Signals[238]: invalid Minimum 'NEO' for 'MONTH' in message 792; left empty.
Warning: Signals[239]: unknown ByteOrder '@1+' for signal 'DOOR_STATE_FL' in message 792; defaulting to 1 (Intel).
Warning: Signals[239]: invalid Factor '[0|3]' for 'DOOR_STATE_FL' in message 792; default 1.0 used.
Warning: Signals[239]: invalid Minimum 'NEO' for 'DOOR_STATE_FL' in message 792; left empty.
Warning: Signals[240]: unknown ByteOrder '@1+' for signal 'DOOR_STATE_FR' in message 792; defaulting to 1 (Intel).
Warning: Signals[240]: invalid Factor '[0|3]' for 'DOOR_STATE_FR' in message 792; default 1.0 used.
Warning: Signals[240]: invalid Minimum 'NEO' for 'DOOR_STATE_FR' in message 792; left empty.
Warning: Signals[241]: unknown ByteOrder '@1+' for signal 'SECOND' in message 792; defaulting to 1 (Intel).
Warning: Signals[241]: invalid Factor '[0|59]' for 'SECOND' in message 792; default 1.0 used.
Warning: Signals[241]: invalid Offset 's' for 'SECOND' in message 792; default 0.0 used.
Warning: Signals[241]: invalid Minimum 'NEO' for 'SECOND' in message 792; left empty.
Warning: Signals[242]: unknown ByteOrder '@1+' for signal 'DOOR_STATE_RL' in message 792; defaulting to 1 (Intel).
Warning: Signals[242]: invalid Factor '[0|3]' for 'DOOR_STATE_RL' in message 792; default 1.0 used.
Warning: Signals[242]: invalid Minimum 'NEO' for 'DOOR_STATE_RL' in message 792; left empty.
Warning: Signals[243]: unknown ByteOrder '@1+' for signal 'Hour' in message 792; defaulting to 1 (Intel).
Warning: Signals[243]: invalid Factor '[0|23]' for 'Hour' in message 792; default 1.0 used.
Warning: Signals[243]: invalid Offset 'h' for 'Hour' in message 792; default 0.0 used.
Warning: Signals[243]: invalid Minimum 'NEO' for 'Hour' in message 792; left empty.
Warning: Signals[244]: unknown ByteOrder '@1+' for signal 'DOOR_STATE_RR' in message 792; defaulting to 1 (Intel).
Warning: Signals[244]: invalid Factor '[0|3]' for 'DOOR_STATE_RR' in message 792; default 1.0 used.
Warning: Signals[244]: invalid Minimum 'NEO' for 'DOOR_STATE_RR' in message 792; left empty.
Warning: Signals[245]: unknown ByteOrder '@1+' for signal 'DAY' in message 792; defaulting to 1 (Intel).
Warning: Signals[245]: invalid Factor '[0|31]' for 'DAY' in message 792; default 1.0 used.
Warning: Signals[245]: invalid Minimum 'NEO' for 'DAY' in message 792; left empty.
Warning: Signals[246]: unknown ByteOrder '@1+' for signal 'MINUTE' in message 792; defaulting to 1 (Intel).
Warning: Signals[246]: invalid Factor '[0|59]' for 'MINUTE' in message 792; default 1.0 used.
Warning: Signals[246]: invalid Offset 'min' for 'MINUTE' in message 792; default 0.0 used.
Warning: Signals[246]: invalid Minimum 'NEO' for 'MINUTE' in message 792; left empty.
Warning: Signals[247]: unknown ByteOrder '@1+' for signal 'BOOT_STATE' in message 792; defaulting to 1 (Intel).
Warning: Signals[247]: invalid Factor '[0|3]' for 'BOOT_STATE' in message 792; default 1.0 used.
Warning: Signals[247]: invalid Minimum 'NEO' for 'BOOT_STATE' in message 792; left empty.
Warning: Signals[248]: unknown ByteOrder '@1+' for signal 'GTW_updateInProgress' in message 792; defaulting to 1 (Intel).
Warning: Signals[248]: invalid Factor '[0|3]' for 'GTW_updateInProgress' in message 792; default 1.0 used.
Warning: Signals[248]: invalid Minimum 'NEO' for 'GTW_updateInProgress' in message 792; left empty.
Warning: Signals[249]: unknown ByteOrder '@1+' for signal 'DOOR_STATE_FrontTrunk' in message 792; defaulting to 1 (Intel).
Warning: Signals[249]: invalid Factor '[0|3]' for 'DOOR_STATE_FrontTrunk' in message 792; default 1.0 used.
Warning: Signals[249]: invalid Minimum 'NEO' for 'DOOR_STATE_FrontTrunk' in message 792; left empty.
Warning: Signals[250]: unknown ByteOrder '@1+' for signal 'MCU_factoryMode' in message 792; defaulting to 1 (Intel).
Warning: Signals[250]: invalid Factor '[0|1]' for 'MCU_factoryMode' in message 792; default 1.0 used.
Warning: Signals[250]: invalid Minimum 'NEO' for 'MCU_factoryMode' in message 792; left empty.
Warning: Signals[251]: unknown ByteOrder '@0+' for signal 'MCU_transportModeOn' in message 792; defaulting to 1 (Intel).
Warning: Signals[251]: invalid Factor '[0|1]' for 'MCU_transportModeOn' in message 792; default 1.0 used.
Warning: Signals[251]: invalid Minimum 'NEO' for 'MCU_transportModeOn' in message 792; left empty.
Warning: Signals[252]: unknown ByteOrder '@0+' for signal 'BC_headLightLStatus' in message 792; defaulting to 1 (Intel).
Warning: Signals[252]: invalid Factor '[0|3]' for 'BC_headLightLStatus' in message 792; default 1.0 used.
Warning: Signals[252]: invalid Minimum 'NEO' for 'BC_headLightLStatus' in message 792; left empty.
Warning: Signals[253]: unknown ByteOrder '@0+' for signal 'BC_headLightRStatus' in message 792; defaulting to 1 (Intel).
Warning: Signals[253]: invalid Factor '[0|3]' for 'BC_headLightRStatus' in message 792; default 1.0 used.
Warning: Signals[253]: invalid Minimum 'NEO' for 'BC_headLightRStatus' in message 792; left empty.
Warning: Signals[254]: unknown ByteOrder '@0+' for signal 'BC_indicatorLStatus' in message 792; defaulting to 1 (Intel).
Warning: Signals[254]: invalid Factor '[0|3]' for 'BC_indicatorLStatus' in message 792; default 1.0 used.
Warning: Signals[254]: invalid Minimum 'NEO' for 'BC_indicatorLStatus' in message 792; left empty.
Warning: Signals[255]: unknown ByteOrder '@0+' for signal 'BC_indicatorRStatus' in message 792; defaulting to 1 (Intel).
Warning: Signals[255]: invalid Factor '[0|3]' for 'BC_indicatorRStatus' in message 792; default 1.0 used.
Warning: Signals[255]: invalid Minimum 'NEO' for 'BC_indicatorRStatus' in message 792; left empty.
Warning: Signals[256]: unknown ByteOrder '@1+' for signal 'UI_touchActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[256]: invalid Factor '[0|0]' for 'UI_touchActive' in message 824; default 1.0 used.
Warning: Signals[256]: invalid Minimum 'IC' for 'UI_touchActive' in message 824; left empty.
Warning: Signals[257]: unknown ByteOrder '@1+' for signal 'UI_audioActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[257]: invalid Factor '[0|0]' for 'UI_audioActive' in message 824; default 1.0 used.
Warning: Signals[257]: invalid Minimum 'IC' for 'UI_audioActive' in message 824; left empty.
Warning: Signals[258]: unknown ByteOrder '@1+' for signal 'UI_bluetoothActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[258]: invalid Factor '[0|0]' for 'UI_bluetoothActive' in message 824; default 1.0 used.
Warning: Signals[258]: invalid Minimum 'IC' for 'UI_bluetoothActive' in message 824; left empty.
Warning: Signals[259]: unknown ByteOrder '@1+' for signal 'UI_cellActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[259]: invalid Factor '[0|0]' for 'UI_cellActive' in message 824; default 1.0 used.
Warning: Signals[259]: invalid Minimum 'IC' for 'UI_cellActive' in message 824; left empty.
Warning: Signals[260]: unknown ByteOrder '@1+' for signal 'UI_displayReady' in message 824; defaulting to 1 (Intel).
Warning: Signals[260]: invalid Factor '[0|0]' for 'UI_displayReady' in message 824; default 1.0 used.
Warning: Signals[260]: invalid Minimum 'IC' for 'UI_displayReady' in message 824; left empty.
Warning: Signals[261]: unknown ByteOrder '@1+' for signal 'UI_gpsActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[261]: invalid Factor '[0|0]' for 'UI_gpsActive' in message 824; default 1.0 used.
Warning: Signals[261]: invalid Minimum 'IC' for 'UI_gpsActive' in message 824; left empty.
Warning: Signals[262]: unknown ByteOrder '@1+' for signal 'UI_wifiConnected' in message 824; defaulting to 1 (Intel).
Warning: Signals[262]: invalid Factor '[0|0]' for 'UI_wifiConnected' in message 824; default 1.0 used.
Warning: Signals[262]: invalid Minimum 'IC , APP' for 'UI_wifiConnected' in message 824; left empty.
Warning: Signals[263]: unknown ByteOrder '@1+' for signal 'UI_systemActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[263]: invalid Factor '[0|0]' for 'UI_systemActive' in message 824; default 1.0 used.
Warning: Signals[263]: invalid Minimum 'IC' for 'UI_systemActive' in message 824; left empty.
Warning: Signals[264]: unknown ByteOrder '@1+' for signal 'UI_xmActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[264]: invalid Factor '[0|0]' for 'UI_xmActive' in message 824; default 1.0 used.
Warning: Signals[264]: invalid Minimum 'IC' for 'UI_xmActive' in message 824; left empty.
Warning: Signals[265]: unknown ByteOrder '@1+' for signal 'UI_displayOn' in message 824; defaulting to 1 (Intel).
Warning: Signals[265]: invalid Factor '[0|0]' for 'UI_displayOn' in message 824; default 1.0 used.
Warning: Signals[265]: invalid Minimum 'IC , APP' for 'UI_displayOn' in message 824; left empty.
Warning: Signals[266]: unknown ByteOrder '@1+' for signal 'UI_readyForDrive' in message 824; defaulting to 1 (Intel).
Warning: Signals[266]: invalid Factor '[0|0]' for 'UI_readyForDrive' in message 824; default 1.0 used.
Warning: Signals[266]: invalid Minimum 'IC' for 'UI_readyForDrive' in message 824; left empty.
Warning: Signals[267]: unknown ByteOrder '@1+' for signal 'UI_cellConnected' in message 824; defaulting to 1 (Intel).
Warning: Signals[267]: invalid Factor '[0|0]' for 'UI_cellConnected' in message 824; default 1.0 used.
Warning: Signals[267]: invalid Minimum 'IC , APP' for 'UI_cellConnected' in message 824; left empty.
Warning: Signals[268]: unknown ByteOrder '@1+' for signal 'UI_vpnActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[268]: invalid Factor '[0|0]' for 'UI_vpnActive' in message 824; default 1.0 used.
Warning: Signals[268]: invalid Minimum 'IC , APP' for 'UI_vpnActive' in message 824; left empty.
Warning: Signals[269]: unknown ByteOrder '@1+' for signal 'UI_wifiActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[269]: invalid Factor '[0|0]' for 'UI_wifiActive' in message 824; default 1.0 used.
Warning: Signals[269]: invalid Minimum 'IC' for 'UI_wifiActive' in message 824; left empty.
Warning: Signals[270]: unknown ByteOrder '@1+' for signal 'UI_cameraActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[270]: invalid Factor '[0|0]' for 'UI_cameraActive' in message 824; default 1.0 used.
Warning: Signals[270]: invalid Minimum 'IC , APP' for 'UI_cameraActive' in message 824; left empty.
Warning: Signals[271]: unknown ByteOrder '@1+' for signal 'UI_usbActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[271]: invalid Factor '[0|0]' for 'UI_usbActive' in message 824; default 1.0 used.
Warning: Signals[271]: invalid Minimum 'IC' for 'UI_usbActive' in message 824; left empty.
Warning: Signals[272]: unknown ByteOrder '@1+' for signal 'UI_screenshotActive' in message 824; defaulting to 1 (Intel).
Warning: Signals[272]: invalid Factor '[0|0]' for 'UI_screenshotActive' in message 824; default 1.0 used.
Warning: Signals[272]: invalid Minimum 'IC , APP' for 'UI_screenshotActive' in message 824; left empty.
Warning: Signals[273]: unknown ByteOrder '@1+' for signal 'UI_monitorModemPower' in message 824; defaulting to 1 (Intel).
Warning: Signals[273]: invalid Factor '[0|0]' for 'UI_monitorModemPower' in message 824; default 1.0 used.
Warning: Signals[273]: invalid Minimum 'Vector__XXX' for 'UI_monitorModemPower' in message 824; left empty.
Warning: Signals[274]: unknown ByteOrder '@1+' for signal 'UI_factoryReset' in message 824; defaulting to 1 (Intel).
Warning: Signals[274]: invalid Factor '[0|3]' for 'UI_factoryReset' in message 824; default 1.0 used.
Warning: Signals[274]: invalid Minimum 'Vector__XXX' for 'UI_factoryReset' in message 824; left empty.
Warning: Signals[275]: unknown ByteOrder '@1+' for signal 'UI_cellNetworkTechnology' in message 824; defaulting to 1 (Intel).
Warning: Signals[275]: invalid Factor '[0|15]' for 'UI_cellNetworkTechnology' in message 824; default 1.0 used.
Warning: Signals[275]: invalid Minimum 'APP' for 'UI_cellNetworkTechnology' in message 824; left empty.
Warning: Signals[276]: unknown ByteOrder '@1+' for signal 'UI_tegraCoreTemperature' in message 824; defaulting to 1 (Intel).
Warning: Signals[276]: invalid Factor '[0|0]' for 'UI_tegraCoreTemperature' in message 824; default 1.0 used.
Warning: Signals[276]: invalid Offset 'deg C' for 'UI_tegraCoreTemperature' in message 824; default 0.0 used.
Warning: Signals[276]: invalid Minimum 'IC' for 'UI_tegraCoreTemperature' in message 824; left empty.
Warning: Signals[277]: unknown ByteOrder '@1+' for signal 'UI_tegraAmbientTemperature' in message 824; defaulting to 1 (Intel).
Warning: Signals[277]: invalid Factor '[0|0]' for 'UI_tegraAmbientTemperature' in message 824; default 1.0 used.
Warning: Signals[277]: invalid Offset 'deg C' for 'UI_tegraAmbientTemperature' in message 824; default 0.0 used.
Warning: Signals[277]: invalid Minimum 'IC' for 'UI_tegraAmbientTemperature' in message 824; left empty.
Warning: Signals[278]: unknown ByteOrder '@1+' for signal 'UI_googleWifiUsages' in message 824; defaulting to 1 (Intel).
Warning: Signals[278]: invalid Factor '[0|0]' for 'UI_googleWifiUsages' in message 824; default 1.0 used.
Warning: Signals[278]: invalid Minimum 'Vector__XXX' for 'UI_googleWifiUsages' in message 824; left empty.
Warning: Signals[279]: unknown ByteOrder '@1+' for signal 'UI_autopilotTrial' in message 824; defaulting to 1 (Intel).
Warning: Signals[279]: invalid Factor '[0|0]' for 'UI_autopilotTrial' in message 824; default 1.0 used.
Warning: Signals[279]: invalid Minimum 'APP' for 'UI_autopilotTrial' in message 824; left empty.
Warning: Signals[280]: unknown ByteOrder '@1+' for signal 'UI_cellSignalBars' in message 824; defaulting to 1 (Intel).
Warning: Signals[280]: invalid Factor '[0|7]' for 'UI_cellSignalBars' in message 824; default 1.0 used.
Warning: Signals[280]: invalid Minimum 'APP' for 'UI_cellSignalBars' in message 824; left empty.
Warning: Signals[281]: unknown ByteOrder '@1+' for signal 'UI_hardwareType' in message 824; defaulting to 1 (Intel).
Warning: Signals[281]: invalid Factor '[0|3]' for 'UI_hardwareType' in message 824; default 1.0 used.
Warning: Signals[281]: invalid Minimum 'APP' for 'UI_hardwareType' in message 824; left empty.
Warning: Signals[282]: unknown ByteOrder '@1+' for signal 'UI_developmentCar' in message 824; defaulting to 1 (Intel).
Warning: Signals[282]: invalid Factor '[0|0]' for 'UI_developmentCar' in message 824; default 1.0 used.
Warning: Signals[282]: invalid Minimum 'Vector__XXX' for 'UI_developmentCar' in message 824; left empty.
Warning: Signals[283]: unknown ByteOrder '@1+' for signal 'UI_cellReceiverPower' in message 824; defaulting to 1 (Intel).
Warning: Signals[283]: invalid Factor '[-128|127]' for 'UI_cellReceiverPower' in message 824; default 1.0 used.
Warning: Signals[283]: invalid Offset 'dB' for 'UI_cellReceiverPower' in message 824; default 0.0 used.
Warning: Signals[283]: invalid Minimum 'APP' for 'UI_cellReceiverPower' in message 824; left empty.
Warning: Signals[284]: unknown ByteOrder '@0+' for signal 'GTW_accGoingDown' in message 840; defaulting to 1 (Intel).
Warning: Signals[284]: invalid Factor '[0|1]' for 'GTW_accGoingDown' in message 840; default 1.0 used.
Warning: Signals[284]: invalid Minimum 'NEO' for 'GTW_accGoingDown' in message 840; left empty.
Warning: Signals[285]: unknown ByteOrder '@0+' for signal 'GTW_accRailReq' in message 840; defaulting to 1 (Intel).
Warning: Signals[285]: invalid Factor '[0|1]' for 'GTW_accRailReq' in message 840; default 1.0 used.
Warning: Signals[285]: invalid Minimum 'NEO' for 'GTW_accRailReq' in message 840; left empty.
Warning: Signals[286]: unknown ByteOrder '@0+' for signal 'GTW_brakePressed' in message 840; defaulting to 1 (Intel).
Warning: Signals[286]: invalid Factor '[0|1]' for 'GTW_brakePressed' in message 840; default 1.0 used.
Warning: Signals[286]: invalid Minimum 'NEO' for 'GTW_brakePressed' in message 840; left empty.
Warning: Signals[287]: unknown ByteOrder '@0+' for signal 'GTW_driveGoingDown' in message 840; defaulting to 1 (Intel).
Warning: Signals[287]: invalid Factor '[0|1]' for 'GTW_driveGoingDown' in message 840; default 1.0 used.
Warning: Signals[287]: invalid Minimum 'NEO' for 'GTW_driveGoingDown' in message 840; left empty.
Warning: Signals[288]: unknown ByteOrder '@0+' for signal 'GTW_driveRailReq' in message 840; defaulting to 1 (Intel).
Warning: Signals[288]: invalid Factor '[0|1]' for 'GTW_driveRailReq' in message 840; default 1.0 used.
Warning: Signals[288]: invalid Minimum 'NEO' for 'GTW_driveRailReq' in message 840; left empty.
Warning: Signals[289]: unknown ByteOrder '@0+' for signal 'GTW_driverIsLeaving' in message 840; defaulting to 1 (Intel).
Warning: Signals[289]: invalid Factor '[0|1]' for 'GTW_driverIsLeaving' in message 840; default 1.0 used.
Warning: Signals[289]: invalid Minimum 'NEO' for 'GTW_driverIsLeaving' in message 840; left empty.
Warning: Signals[290]: unknown ByteOrder '@0+' for signal 'GTW_driverPresent' in message 840; defaulting to 1 (Intel).
Warning: Signals[290]: invalid Factor '[0|1]' for 'GTW_driverPresent' in message 840; default 1.0 used.
Warning: Signals[290]: invalid Minimum 'NEO' for 'GTW_driverPresent' in message 840; left empty.
Warning: Signals[291]: unknown ByteOrder '@0+' for signal 'GTW_hvacGoingDown' in message 840; defaulting to 1 (Intel).
Warning: Signals[291]: invalid Factor '[0|1]' for 'GTW_hvacGoingDown' in message 840; default 1.0 used.
Warning: Signals[291]: invalid Minimum 'NEO' for 'GTW_hvacGoingDown' in message 840; left empty.
Warning: Signals[292]: unknown ByteOrder '@0+' for signal 'GTW_hvacRailReq' in message 840; defaulting to 1 (Intel).
Warning: Signals[292]: invalid Factor '[0|1]' for 'GTW_hvacRailReq' in message 840; default 1.0 used.
Warning: Signals[292]: invalid Minimum 'NEO' for 'GTW_hvacRailReq' in message 840; left empty.
Warning: Signals[293]: unknown ByteOrder '@0+' for signal 'GTW_icPowerOff' in message 840; defaulting to 1 (Intel).
Warning: Signals[293]: invalid Factor '[0|1]' for 'GTW_icPowerOff' in message 840; default 1.0 used.
Warning: Signals[293]: invalid Minimum 'NEO' for 'GTW_icPowerOff' in message 840; left empty.
Warning: Signals[294]: unknown ByteOrder '@0+' for signal 'GTW_notEnough12VForDrive' in message 840; defaulting to 1 (Intel).
Warning: Signals[294]: invalid Factor '[0|1]' for 'GTW_notEnough12VForDrive' in message 840; default 1.0 used.
Warning: Signals[294]: invalid Minimum 'NEO' for 'GTW_notEnough12VForDrive' in message 840; left empty.
Warning: Signals[295]: unknown ByteOrder '@0+' for signal 'GTW_preconditionRequest' in message 840; defaulting to 1 (Intel).
Warning: Signals[295]: invalid Factor '[0|1]' for 'GTW_preconditionRequest' in message 840; default 1.0 used.
Warning: Signals[295]: invalid Minimum 'NEO' for 'GTW_preconditionRequest' in message 840; left empty.
Warning: Signals[296]: unknown ByteOrder '@0+' for signal 'GTW_statusChecksum' in message 840; defaulting to 1 (Intel).
Warning: Signals[296]: invalid Factor '[0|255]' for 'GTW_statusChecksum' in message 840; default 1.0 used.
Warning: Signals[296]: invalid Minimum 'NEO' for 'GTW_statusChecksum' in message 840; left empty.
Warning: Signals[297]: unknown ByteOrder '@0+' for signal 'GTW_statusCounter' in message 840; defaulting to 1 (Intel).
Warning: Signals[297]: invalid Factor '[0|15]' for 'GTW_statusCounter' in message 840; default 1.0 used.
Warning: Signals[297]: invalid Minimum 'NEO' for 'GTW_statusCounter' in message 840; left empty.
Warning: Signals[298]: unknown ByteOrder '@1+' for signal 'DI_systemState' in message 872; defaulting to 1 (Intel).
Warning: Signals[298]: invalid Factor '[0|0]' for 'DI_systemState' in message 872; default 1.0 used.
Warning: Signals[298]: invalid Minimum 'NEO' for 'DI_systemState' in message 872; left empty.
Warning: Signals[299]: unknown ByteOrder '@1+' for signal 'DI_vehicleHoldState' in message 872; defaulting to 1 (Intel).
Warning: Signals[299]: invalid Factor '[0|0]' for 'DI_vehicleHoldState' in message 872; default 1.0 used.
Warning: Signals[299]: invalid Minimum 'NEO' for 'DI_vehicleHoldState' in message 872; left empty.
Warning: Signals[300]: unknown ByteOrder '@1+' for signal 'DI_proximity' in message 872; defaulting to 1 (Intel).
Warning: Signals[300]: invalid Factor '[0|0]' for 'DI_proximity' in message 872; default 1.0 used.
Warning: Signals[300]: invalid Minimum 'NEO' for 'DI_proximity' in message 872; left empty.
Warning: Signals[301]: unknown ByteOrder '@1+' for signal 'DI_driveReady' in message 872; defaulting to 1 (Intel).
Warning: Signals[301]: invalid Factor '[0|0]' for 'DI_driveReady' in message 872; default 1.0 used.
Warning: Signals[301]: invalid Minimum 'NEO' for 'DI_driveReady' in message 872; left empty.
Warning: Signals[302]: unknown ByteOrder '@1+' for signal 'DI_regenLight' in message 872; defaulting to 1 (Intel).
Warning: Signals[302]: invalid Factor '[0|0]' for 'DI_regenLight' in message 872; default 1.0 used.
Warning: Signals[302]: invalid Minimum 'NEO' for 'DI_regenLight' in message 872; left empty.
Warning: Signals[303]: unknown ByteOrder '@1+' for signal 'DI_state' in message 872; defaulting to 1 (Intel).
Warning: Signals[303]: invalid Factor '[0|0]' for 'DI_state' in message 872; default 1.0 used.
Warning: Signals[303]: invalid Minimum 'NEO' for 'DI_state' in message 872; left empty.
Warning: Signals[304]: unknown ByteOrder '@1+' for signal 'DI_cruiseState' in message 872; defaulting to 1 (Intel).
Warning: Signals[304]: invalid Factor '[0|0]' for 'DI_cruiseState' in message 872; default 1.0 used.
Warning: Signals[304]: invalid Minimum 'NEO' for 'DI_cruiseState' in message 872; left empty.
Warning: Signals[305]: unknown ByteOrder '@1+' for signal 'DI_analogSpeed' in message 872; defaulting to 1 (Intel).
Warning: Signals[305]: invalid Factor '[0|150]' for 'DI_analogSpeed' in message 872; default 1.0 used.
Warning: Signals[305]: invalid Offset 'speed' for 'DI_analogSpeed' in message 872; default 0.0 used.
Warning: Signals[305]: invalid Minimum 'NEO' for 'DI_analogSpeed' in message 872; left empty.
Warning: Signals[306]: unknown ByteOrder '@1+' for signal 'DI_immobilizerState' in message 872; defaulting to 1 (Intel).
Warning: Signals[306]: invalid Factor '[0|0]' for 'DI_immobilizerState' in message 872; default 1.0 used.
Warning: Signals[306]: invalid Minimum 'NEO' for 'DI_immobilizerState' in message 872; left empty.
Warning: Signals[307]: unknown ByteOrder '@1+' for signal 'DI_speedUnits' in message 872; defaulting to 1 (Intel).
Warning: Signals[307]: invalid Factor '[0|1]' for 'DI_speedUnits' in message 872; default 1.0 used.
Warning: Signals[307]: invalid Minimum 'NEO' for 'DI_speedUnits' in message 872; left empty.
Warning: Signals[308]: unknown ByteOrder '@1+' for signal 'DI_cruiseSet' in message 872; defaulting to 1 (Intel).
Warning: Signals[308]: invalid Factor '[0|255.5]' for 'DI_cruiseSet' in message 872; default 1.0 used.
Warning: Signals[308]: invalid Offset 'speed' for 'DI_cruiseSet' in message 872; default 0.0 used.
Warning: Signals[308]: invalid Minimum 'NEO' for 'DI_cruiseSet' in message 872; left empty.
Warning: Signals[309]: unknown ByteOrder '@1+' for signal 'DI_aebState' in message 872; defaulting to 1 (Intel).
Warning: Signals[309]: invalid Factor '[0|0]' for 'DI_aebState' in message 872; default 1.0 used.
Warning: Signals[309]: invalid Minimum 'NEO' for 'DI_aebState' in message 872; left empty.
Warning: Signals[310]: unknown ByteOrder '@1+' for signal 'DI_stateCounter' in message 872; defaulting to 1 (Intel).
Warning: Signals[310]: invalid Factor '[0|0]' for 'DI_stateCounter' in message 872; default 1.0 used.
Warning: Signals[310]: invalid Minimum 'NEO' for 'DI_stateCounter' in message 872; left empty.
Warning: Signals[311]: unknown ByteOrder '@1+' for signal 'DI_digitalSpeed' in message 872; defaulting to 1 (Intel).
Warning: Signals[311]: invalid Factor '[0|250]' for 'DI_digitalSpeed' in message 872; default 1.0 used.
Warning: Signals[311]: invalid Minimum 'NEO' for 'DI_digitalSpeed' in message 872; left empty.
Warning: Signals[312]: unknown ByteOrder '@1+' for signal 'DI_stateChecksum' in message 872; defaulting to 1 (Intel).
Warning: Signals[312]: invalid Factor '[0|0]' for 'DI_stateChecksum' in message 872; default 1.0 used.
Warning: Signals[312]: invalid Minimum 'NEO' for 'DI_stateChecksum' in message 872; left empty.
Warning: Signals[313]: unknown ByteOrder '@0+' for signal 'EPAS_currentTuneMode' in message 880; defaulting to 1 (Intel).
Warning: Signals[313]: invalid Factor '[8|15]' for 'EPAS_currentTuneMode' in message 880; default 1.0 used.
Warning: Signals[313]: invalid Minimum 'NEO' for 'EPAS_currentTuneMode' in message 880; left empty.
Warning: Signals[314]: unknown ByteOrder '@0+' for signal 'EPAS_eacErrorCode' in message 880; defaulting to 1 (Intel).
Warning: Signals[314]: invalid Factor '[-1|16]' for 'EPAS_eacErrorCode' in message 880; default 1.0 used.
Warning: Signals[314]: invalid Minimum 'NEO' for 'EPAS_eacErrorCode' in message 880; left empty.
Warning: Signals[315]: unknown ByteOrder '@0+' for signal 'EPAS_eacStatus' in message 880; defaulting to 1 (Intel).
Warning: Signals[315]: invalid Factor '[5|7]' for 'EPAS_eacStatus' in message 880; default 1.0 used.
Warning: Signals[315]: invalid Minimum 'NEO' for 'EPAS_eacStatus' in message 880; left empty.
Warning: Signals[316]: unknown ByteOrder '@0+' for signal 'EPAS_handsOnLevel' in message 880; defaulting to 1 (Intel).
Warning: Signals[316]: invalid Factor '[-1|4]' for 'EPAS_handsOnLevel' in message 880; default 1.0 used.
Warning: Signals[316]: invalid Minimum 'NEO' for 'EPAS_handsOnLevel' in message 880; left empty.
Warning: Signals[317]: unknown ByteOrder '@0+' for signal 'EPAS_internalSAS' in message 880; defaulting to 1 (Intel).
Warning: Signals[317]: invalid Factor '[0|0]' for 'EPAS_internalSAS' in message 880; default 1.0 used.
Warning: Signals[317]: invalid Offset 'deg' for 'EPAS_internalSAS' in message 880; default 0.0 used.
Warning: Signals[317]: invalid Minimum 'NEO' for 'EPAS_internalSAS' in message 880; left empty.
Warning: Signals[318]: unknown ByteOrder '@0+' for signal 'EPAS_steeringFault' in message 880; defaulting to 1 (Intel).
Warning: Signals[318]: invalid Factor '[-1|2]' for 'EPAS_steeringFault' in message 880; default 1.0 used.
Warning: Signals[318]: invalid Minimum 'NEO' for 'EPAS_steeringFault' in message 880; left empty.
Warning: Signals[319]: unknown ByteOrder '@0+' for signal 'EPAS_steeringRackForce' in message 880; defaulting to 1 (Intel).
Warning: Signals[319]: invalid Factor '[0|0]' for 'EPAS_steeringRackForce' in message 880; default 1.0 used.
Warning: Signals[319]: invalid Offset 'N' for 'EPAS_steeringRackForce' in message 880; default 0.0 used.
Warning: Signals[319]: invalid Minimum 'NEO' for 'EPAS_steeringRackForce' in message 880; left empty.
Warning: Signals[320]: unknown ByteOrder '@0+' for signal 'EPAS_steeringReduced' in message 880; defaulting to 1 (Intel).
Warning: Signals[320]: invalid Factor '[-1|2]' for 'EPAS_steeringReduced' in message 880; default 1.0 used.
Warning: Signals[320]: invalid Minimum 'NEO' for 'EPAS_steeringReduced' in message 880; left empty.
Warning: Signals[321]: unknown ByteOrder '@0+' for signal 'EPAS_sysStatusChecksum' in message 880; defaulting to 1 (Intel).
Warning: Signals[321]: invalid Factor '[0|255]' for 'EPAS_sysStatusChecksum' in message 880; default 1.0 used.
Warning: Signals[321]: invalid Minimum 'NEO' for 'EPAS_sysStatusChecksum' in message 880; left empty.
Warning: Signals[322]: unknown ByteOrder '@0+' for signal 'EPAS_sysStatusCounter' in message 880; defaulting to 1 (Intel).
Warning: Signals[322]: invalid Factor '[0|15]' for 'EPAS_sysStatusCounter' in message 880; default 1.0 used.
